tconst,primarytitle,startyear,runtimeminutes,genres,ordering,category,averagerating,numvotes,primaryname
tt0062336,The Tango of the Widower and Its Distorting Mirror,2020,70.0,Drama,1,actor,6.4,161,Rubén Sotoconil
tt0069049,The Other Side of the Wind,2018,122.0,Drama,1,actor,6.7,7160,John Huston
tt0094859,Chief Zabu,2016,74.0,Comedy,1,actor,7.9,82,Allen Garfield
tt0096056,Crime and Punishment,2002,126.0,Drama,1,actor,5.7,810,Crispin Glover
tt0114447,The Silent Force,2001,90.0,Action,1,actor,4.2,152,Loren Avedon
tt0115937,Consequence,2000,91.0,Drama,1,actor,7.7,13,Marc Casabani
tt0116991,Mariette in Ecstasy,2009,101.0,Drama,1,actress,7.1,69,Geraldine O'Rawe
tt0118141,What Is It?,2005,72.0,Drama,1,actor,5.5,904,Michael Blevis
tt0118710,Beyond the Pale,2000,96.0,Drama,1,actor,6.5,154,Patrick Clarke
tt0118852,Chinese Coffee,2000,99.0,Drama,1,actor,7.1,4254,Al Pacino
tt0119231,The Junior Defenders,2007,83.0,Comedy,1,actress,4.6,184,Ally Sheedy
tt0119980,Random Shooting in L.A.,2002,91.0,Drama,1,actress,6.5,75,Barbara Lindsay
tt0120607,Between the Sheets,2003,102.0,Comedy,1,actor,4.9,77,Peter DeLuise
tt0120807,Ricochet River,2001,112.0,Drama,1,actor,5.0,315,John Cullum
tt0120824,The Shipping News,2001,111.0,Drama,1,actor,6.7,32853,Kevin Spacey
tt0123581,Burning Down the House,2001,84.0,Comedy,1,actor,4.9,71,John Savage
tt0128158,Deadfall,2000,86.0,Horror,1,actor,4.7,102,Patrick Lawlor
tt0128216,Flophouse,2002,75.0,Comedy,1,actor,3.7,291,Thomas Wilson Brown
tt0132078,Dead by Monday,2001,94.0,Comedy,1,actress,6.1,237,Helen Baxendale
tt0132885,BlackMale,2000,90.0,Thriller,1,actor,4.6,381,Bokeem Woodbine
tt0133063,Lightmaker,2001,89.0,Fantasy,1,actor,7.7,329,Zbigniew Zamachowski
tt0138288,All Saints Day,2000,82.0,Comedy,1,actor,6.4,81,Micky Blatt
tt0138818,The Hiding Place,2000,97.0,Drama,1,actress,6.4,101,Kim Hunter
tt0138927,Waterproof,2000,95.0,Drama,1,actor,6.4,433,Whitman Mayo
tt0142634,Nobody Knows Anything!,2003,90.0,Comedy,1,actress,3.2,670,Linda Black
tt0143558,Father's Acre,2009,85.0,Drama,1,actor,4.9,66,Tamás Ravasz
tt0146803,"Goodnight, Joseph Parker",2004,81.0,Drama,1,actor,7.6,522,Paul Sorvino
tt0148120,Eyes to Heaven,2000,88.0,Horror,1,actor,6.7,29,Matthew Clark
tt0148415,Little Shop of Erotica,2001,87.0,Fantasy,1,actress,4.1,65,Marilyn Chambers
tt0151299,Last Fair Deal,2002,101.0,Action,1,actor,5.2,19,L.M. Kit Carson
tt0151309,Laughing Boy,2000,82.0,Comedy,1,actor,6.0,147,Joe Grisaffi
tt0151685,Love,2001,110.0,Drama,1,actress,7.0,20,Eliana Alexander
tt0152083,Probably Love,2001,107.0,Drama,1,actress,5.8,83,Sonia Bergamasco
tt0153100,Time of Her Time,2000,93.0,Drama,1,actor,6.8,45,Linden Ashby
tt0153533,Bitten: Victoria's Shadow,2001,80.0,Horror,1,actress,3.7,110,Brinke Stevens
tt0154187,The Bacchae,2002,90.0,Drama,1,actor,6.7,124,Jonathan Klein
tt0155150,Secrets of a Chambermaid,2000,99.0,Drama,1,actor,5.1,397,Michael Ensign
tt0155723,A Good Baby,2000,87.0,Drama,1,actor,6.8,332,Henry Thomas
tt0156807,Mr. Accident,2000,89.0,Comedy,1,actor,4.3,1122,Yahoo Serious
tt0156942,Rave,2000,85.0,Drama,1,actor,5.5,186,Douglas Spain
tt0159291,Attention Shoppers,2000,87.0,Comedy,1,actress,4.8,281,Lillian Adams
tt0159396,Civility,2000,82.0,Thriller,1,actor,3.7,157,Liam Waite
tt0160182,Desperate But Not Serious,2000,94.0,Comedy,1,actress,4.0,419,Christine Taylor
tt0160256,The Unscarred,2000,92.0,Thriller,1,actor,5.7,196,James Russo
tt0160261,False River,2005,90.0,Thriller,1,actor,6.0,81,Salvator Xuereb
tt0160270,Fat Chance,2001,90.0,Comedy,1,actor,6.1,11,Guy Wegener
tt0160403,The Independent,2000,81.0,Comedy,1,actor,5.9,1312,Jerry Stiller
tt0160434,Housebound,2000,89.0,Thriller,1,actress,4.2,217,Katharina Wressnig
tt0160447,The Last Great Ride,2000,89.0,Comedy,1,actor,4.8,214,Ernest Borgnine
tt0160652,The Perfect Tenant,2000,93.0,Thriller,1,actress,4.6,339,Linda Purl
tt0160859,Shades of Darkness,2000,88.0,Thriller,1,actor,3.4,111,John Maczko
tt0160870,Silent Screamplay,2003,120.0,Thriller,1,actor,5.3,46,Johnny Keatth
tt0161003,Train Ride,2000,93.0,Drama,1,actor,4.7,267,Dakota Anderson
tt0161088,White Boy,2002,90.0,Drama,1,actor,2.9,316,Johnny Green
tt0162838,Three Days of Rain,2002,98.0,Drama,1,actress,5.4,280,Penelope Allen
tt0164182,The Stonecutter,2000,95.0,Drama,1,actor,8.3,14,Michael Cavalieri
tt0164545,Doomsday Man,2000,89.0,Drama,1,actor,3.6,480,Esai Morales
tt0165452,The Rules (for Men),2001,96.0,Comedy,1,actor,3.2,45,Robert Capelli Jr.
tt0165713,The Distinct Smell of Red,2001,81.0,Drama,1,actor,6.9,11,Guilford Adams
tt0165928,Revenge,2000,94.0,Thriller,1,actress,4.4,244,Alexandra Paul
tt0166186,Still Life,2001,90.0,Drama,1,actor,5.7,66,Jamie Sinsz
tt0166339,Screenland Drive,2000,89.0,Comedy,1,actor,7.8,10,Eddie McClintock
tt0168446,Aberdeen,2000,113.0,Drama,1,actor,7.1,3261,Stellan Skarsgård
tt0168714,Dream Witch,2000,70.0,Action,1,actress,2.8,25,Chrissy Mountjoy
tt0169543,Almost Blue,2000,86.0,Thriller,1,actress,5.6,742,Lorenza Indovina
tt0169579,Baggage,2003,90.0,Drama,1,actor,6.5,41,M. Emmet Walsh
tt0170008,Hollywood Palms,2001,86.0,Comedy,1,actor,5.5,151,Patrick Labyorteaux
tt0170367,Peroxide Passion,2001,84.0,Comedy,1,actor,5.8,40,James Tupper
tt0171339,Generation Ax,2001,78.0,Horror,1,actress,3.4,112,Marina Morgan
tt0172632,Joe Gould's Secret,2000,104.0,Drama,1,actor,6.6,1583,Ian Holm
